"country","years","rest_ha_yr","scenario"
"American Samoa",47,0,"BAU"
"Angola",47,0,"BAU"
"Anguilla",47,0,"BAU"
"Antigua and Barbuda",47,0,"BAU"
"Aruba",47,0,"BAU"
"Australia",47,0,"BAU"
"Bahamas",47,0,"BAU"
"Bahrain",47,0,"BAU"
"Bangladesh",47,0,"BAU"
"Barbados",47,0,"BAU"
"Belize",47,0,"BAU"
"Benin",47,0,"BAU"
"Bonaire",47,0,"BAU"
"Brazil",47,0,"BAU"
"British Virgin Islands",47,0,"BAU"
"Brunei",47,0,"BAU"
"Cambodia",47,0,"BAU"
"Cameroon",47,0,"BAU"
"Cayman Islands",47,0,"BAU"
"China",47,0,"BAU"
"Colombia",47,0,"BAU"
"Comoros",47,0,"BAU"
"Costa Rica",47,0,"BAU"
"Cuba",47,0,"BAU"
"Curaco",47,0,"BAU"
"Democratic Republic of the Congo",47,0,"BAU"
"Djibouti",47,0,"BAU"
"Dominica",47,0,"BAU"
"Dominican Republic",47,0,"BAU"
"East Timor",47,0,"BAU"
"Ecuador",47,0,"BAU"
"Egypt",47,0,"BAU"
"El Salvador",47,0,"BAU"
"Equatorial Guinea",47,0,"BAU"
"Eritrea",47,0,"BAU"
"Fiji",47,0,"BAU"
"French Guiana",47,0,"BAU"
"Gabon",47,0,"BAU"
"Gambia",47,0,"BAU"
"Ghana",47,0,"BAU"
"Grenada",47,0,"BAU"
"Guadeloupe",47,0,"BAU"
"Guatemala",47,0,"BAU"
"Guinea",47,0,"BAU"
"Guinea-Bissau",47,0,"BAU"
"Guyana",47,0,"BAU"
"Haiti",47,0,"BAU"
"Honduras",47,0,"BAU"
"India",47,0,"BAU"
"Indonesia",47,0,"BAU"
"Iran",47,0,"BAU"
"Ivory Coast",47,0,"BAU"
"Jamaica",47,0,"BAU"
"Japan",47,0,"BAU"
"Kenya",47,0,"BAU"
"Liberia",47,0,"BAU"
"Madagascar",47,0,"BAU"
"Malaysia",47,0,"BAU"
"Martinique",47,0,"BAU"
"Mauritius",47,0,"BAU"
"Mayotte",47,0,"BAU"
"Mexico",47,0,"BAU"
"Micronesia",47,0,"BAU"
"Mozambique",47,0,"BAU"
"Myanmar",47,0,"BAU"
"New Caledonia",47,0,"BAU"
"New Zealand",47,0,"BAU"
"Nicaragua",47,0,"BAU"
"Nigeria",47,0,"BAU"
"Oman",47,0,"BAU"
"Pakistan",47,0,"BAU"
"Palau",47,0,"BAU"
"Panama",47,0,"BAU"
"Papua New Guinea",47,0,"BAU"
"Phillippines",47,0,"BAU"
"Puerto Rico",47,0,"BAU"
"Qatar",47,0,"BAU"
"Saint-Martin",47,0,"BAU"
"Saint Kitts and Nevis",47,0,"BAU"
"Saint Lucia",47,0,"BAU"
"Saint Vincent",47,0,"BAU"
"Samoa",47,0,"BAU"
"Sao Tome and Principe",47,0,"BAU"
"Saudi Arabia",47,0,"BAU"
"Senegal",47,0,"BAU"
"Seychelles",47,0,"BAU"
"Sierra Leone",47,0,"BAU"
"Singapore",47,0,"BAU"
"Solomon Islands",47,0,"BAU"
"Somalia",47,0,"BAU"
"South Africa",47,0,"BAU"
"Sri Lanka",47,0,"BAU"
"Sudan",47,0,"BAU"
"Suriname",47,0,"BAU"
"Taiwan",47,0,"BAU"
"Tanzania",47,0,"BAU"
"Thailand",47,0,"BAU"
"Tonga",47,0,"BAU"
"Trinidad and Tobago",47,0,"BAU"
"Turks and Caicos Islands",47,0,"BAU"
"United Arab Emirates",47,0,"BAU"
"United States",47,0,"BAU"
"Vanuatu",47,0,"BAU"
"Venezuela",47,0,"BAU"
"Vietnam",47,0,"BAU"
"Virgin Islands",47,0,"BAU"
"Yemen",47,0,"BAU"
"American Samoa",47,0,"P"
"Angola",47,0,"P"
"Anguilla",47,0,"P"
"Antigua and Barbuda",47,0,"P"
"Aruba",47,0,"P"
"Australia",47,0,"P"
"Bahamas",47,0,"P"
"Bahrain",47,0,"P"
"Bangladesh",47,0,"P"
"Barbados",47,0,"P"
"Belize",47,0,"P"
"Benin",47,0,"P"
"Bonaire",47,0,"P"
"Brazil",47,0,"P"
"British Virgin Islands",47,0,"P"
"Brunei",47,0,"P"
"Cambodia",47,0,"P"
"Cameroon",47,0,"P"
"Cayman Islands",47,0,"P"
"China",47,0,"P"
"Colombia",47,0,"P"
"Comoros",47,0,"P"
"Costa Rica",47,0,"P"
"Cuba",47,0,"P"
"Curaco",47,0,"P"
"Democratic Republic of the Congo",47,0,"P"
"Djibouti",47,0,"P"
"Dominica",47,0,"P"
"Dominican Republic",47,0,"P"
"East Timor",47,0,"P"
"Ecuador",47,0,"P"
"Egypt",47,0,"P"
"El Salvador",47,0,"P"
"Equatorial Guinea",47,0,"P"
"Eritrea",47,0,"P"
"Fiji",47,0,"P"
"French Guiana",47,0,"P"
"Gabon",47,0,"P"
"Gambia",47,0,"P"
"Ghana",47,0,"P"
"Grenada",47,0,"P"
"Guadeloupe",47,0,"P"
"Guatemala",47,0,"P"
"Guinea",47,0,"P"
"Guinea-Bissau",47,0,"P"
"Guyana",47,0,"P"
"Haiti",47,0,"P"
"Honduras",47,0,"P"
"India",47,0,"P"
"Indonesia",47,0,"P"
"Iran",47,0,"P"
"Ivory Coast",47,0,"P"
"Jamaica",47,0,"P"
"Japan",47,0,"P"
"Kenya",47,0,"P"
"Liberia",47,0,"P"
"Madagascar",47,0,"P"
"Malaysia",47,0,"P"
"Martinique",47,0,"P"
"Mauritius",47,0,"P"
"Mayotte",47,0,"P"
"Mexico",47,0,"P"
"Micronesia",47,0,"P"
"Mozambique",47,0,"P"
"Myanmar",47,0,"P"
"New Caledonia",47,0,"P"
"New Zealand",47,0,"P"
"Nicaragua",47,0,"P"
"Nigeria",47,0,"P"
"Oman",47,0,"P"
"Pakistan",47,0,"P"
"Palau",47,0,"P"
"Panama",47,0,"P"
"Papua New Guinea",47,0,"P"
"Phillippines",47,0,"P"
"Puerto Rico",47,0,"P"
"Qatar",47,0,"P"
"Saint-Martin",47,0,"P"
"Saint Kitts and Nevis",47,0,"P"
"Saint Lucia",47,0,"P"
"Saint Vincent",47,0,"P"
"Samoa",47,0,"P"
"Sao Tome and Principe",47,0,"P"
"Saudi Arabia",47,0,"P"
"Senegal",47,0,"P"
"Seychelles",47,0,"P"
"Sierra Leone",47,0,"P"
"Singapore",47,0,"P"
"Solomon Islands",47,0,"P"
"Somalia",47,0,"P"
"South Africa",47,0,"P"
"Sri Lanka",47,0,"P"
"Sudan",47,0,"P"
"Suriname",47,0,"P"
"Taiwan",47,0,"P"
"Tanzania",47,0,"P"
"Thailand",47,0,"P"
"Tonga",47,0,"P"
"Trinidad and Tobago",47,0,"P"
"Turks and Caicos Islands",47,0,"P"
"United Arab Emirates",47,0,"P"
"United States",47,0,"P"
"Vanuatu",47,0,"P"
"Venezuela",47,0,"P"
"Vietnam",47,0,"P"
"Virgin Islands",47,0,"P"
"Yemen",47,0,"P"
"American Samoa",47,0,"P2"
"Angola",47,0,"P2"
"Anguilla",47,0,"P2"
"Antigua and Barbuda",47,0,"P2"
"Aruba",47,0,"P2"
"Australia",47,0,"P2"
"Bahamas",47,0,"P2"
"Bahrain",47,0,"P2"
"Bangladesh",47,0,"P2"
"Barbados",47,0,"P2"
"Belize",47,0,"P2"
"Benin",47,0,"P2"
"Bonaire",47,0,"P2"
"Brazil",47,0,"P2"
"British Virgin Islands",47,0,"P2"
"Brunei",47,0,"P2"
"Cambodia",47,0,"P2"
"Cameroon",47,0,"P2"
"Cayman Islands",47,0,"P2"
"China",47,0,"P2"
"Colombia",47,0,"P2"
"Comoros",47,0,"P2"
"Costa Rica",47,0,"P2"
"Cuba",47,0,"P2"
"Curaco",47,0,"P2"
"Democratic Republic of the Congo",47,0,"P2"
