"site","years","rest_ha_yr","scenario"
"W39_JMSPH...James",47,0,"BAU"
"X114_Ludo.Baiao",47,0,"BAU"
"X241_Terschelling",47,0,"BAU"
"W31_Eel.Pond..Waquoit.Bay",47,0,"BAU"
"X12_LE5.3",47,0,"BAU"
"W40_Buttermilk.and.Little.Buttermilk.Bays",47,0,"BAU"
"W40_Three.Bays",47,0,"BAU"
"W69_Portinho.da.Rabida",47,0,"BAU"
"X14_Nisqually.River.Delta",47,0,"BAU"
"X104_Cleveland.Bay",47,0,"BAU"
"W40_Salem.Harbor",47,0,"BAU"
"X114_Portinho.da.Arrabida",47,0,"BAU"
"X114_Arade.River",47,0,"BAU"
"W40_Bass.River",47,0,"BAU"
"W40_Boston.Harbor.South",47,0,"BAU"
"W40_Wareham.River.Marks.Cove",47,0,"BAU"
"W59_Canal.de.Ovar",47,0,"BAU"
"X207_Waquoit.Bay",47,0,"BAU"
"W39_LYNPH...Lynnhaven",47,0,"BAU"
"X208_Cerbere.Banyuls",47,0,"BAU"
"W39_Mumfort.Islands",47,0,"BAU"
"X265_Nakdong.River.Estuary",47,0,"BAU"
"X111_Bellarine.Bank",47,0,"BAU"
"X67_Albania",47,0,"BAU"
"X307_Martigues",47,0,"BAU"
"X244_Klein.Oesterwal",47,0,"BAU"
"X111_Blairgowrie",47,0,"BAU"
"W40_Little.Pond",47,0,"BAU"
"W40_Weweantic.River",47,0,"BAU"
"X12_CB7.3E",47,0,"BAU"
"W40_Marblehead.Harbor",47,0,"BAU"
"W40_Herring.River",47,0,"BAU"
"W7.356_Kungalv",47,0,"BAU"
"W39_CB8PH...Chesapeake.Bay",47,0,"BAU"
"X12_LE3.7",47,0,"BAU"
"X12_CB6.3",47,0,"BAU"
"W40_Beverly.Harbor.Danvers.River",47,0,"BAU"
"X114_Obidos.Lagoon",47,0,"BAU"
"X207_Wareham.Harbor",47,0,"BAU"
"X12_EE3.4",47,0,"BAU"
"X12_WE4.3",47,0,"BAU"
"X114_Mira.River",47,0,"BAU"
"X207_Hamblin.Jehu.Ponds.and.Great.and.Little.Rivers",47,0,"BAU"
"X41_North.control",47,0,"BAU"
"X31_Swartkops",47,0,"BAU"
"W7.356_Uddevalla",47,0,"BAU"
"W40_Bournes.Pond",47,0,"BAU"
"X114_Ria.de.Aveiro",47,0,"BAU"
"W41_Mobile.Bay",47,0,"BAU"
"W40_Stage.Harbor.System",47,0,"BAU"
"X71_Cairns.Harbour",47,0,"BAU"
"X259_Kungalv",47,0,"BAU"
"X232_Arguin.Bank...Zostera.marina",47,0,"BAU"
"W40_Upper.Pleasant.Bay",47,0,"BAU"
"X307_Pointe.de.Berre",47,0,"BAU"
"X106_Labrador..inc.Pasir.Panjang.Beach.",47,0,"BAU"
"X232_Arcachon.Bay...Zostera.marina",47,0,"BAU"
"X12_WE4.4",47,0,"BAU"
"W40_Westport.River...East.and.West.Branch",47,0,"BAU"
"X106_Bajau",47,0,"BAU"
"X106_Pasir.Laba",47,0,"BAU"
"X106_Pulau.Samulun",47,0,"BAU"
"X106_Tanjung.Changi..Teluk.Paku..Beting.Kusah..Tanah.Merah.Besar",47,0,"BAU"
"T1_Watamu",47,0,"BAU"
"X188a_Hillsborough.Bay",47,0,"BAU"
"X140_Ems.Estuary",47,0,"BAU"
"X12_LE4.3",47,0,"BAU"
"X12_WE4.2",47,0,"BAU"
"W39_RPPMH...Rappahannock",47,0,"BAU"
"X207_Salem.Harbor",47,0,"BAU"
"X116_Pietra.Ligure..PL.",47,0,"BAU"
"W40_Ryders.Cove.Crow.Pond.Bassing.Harbor",47,0,"BAU"
"X41_South.control",47,0,"BAU"
"W40_Hyannis.Harbor",47,0,"BAU"
"W68_Corner.Inlet...Lewis.Channel",47,0,"BAU"
"W7.356_Stromstad",47,0,"BAU"
"X207_Lagoon.Pond",47,0,"BAU"
"X114_Ria.de.Alvor",47,0,"BAU"
"X12_CB7.1N",47,0,"BAU"
"X12_CB7.1S",47,0,"BAU"
"X244_Oesterwal",47,0,"BAU"
"X12_WE4.1",47,0,"BAU"
"X152_Cap.Corse",47,0,"BAU"
"X242_Chincoteague.Bay",47,0,"BAU"
"X224_Suwannee",47,0,"BAU"
"X259_Uddevalla",47,0,"BAU"
"W40_Duxbury.Plymout.h.Harbors",47,0,"BAU"
"W40_Morris.Island",47,0,"BAU"
"X106_Pulau.Ubin",47,0,"BAU"
"W40_Wild.Harbor",47,0,"BAU"
"W40_Lynn.Harbor",47,0,"BAU"
"X207_Weweantic.Harbor",47,0,"BAU"
"X74_Jangheung.Bay",47,0,"BAU"
"W57_Sandy.Cove",47,0,"BAU"
"W57_Chaik.Bay",47,0,"BAU"
"W57_Nakwasina",47,0,"BAU"
"W34_Puget.Sound",47,0,"BAU"
"W57_Funter.Bay",47,0,"BAU"
"W57_Pirates.Cove",47,0,"BAU"
"W57_Crab.Bay",47,0,"BAU"
"W40_New.Bedford.Harbor.Outer..Cla.rks.Cove",47,0,"BAU"
"X89_Izembek.Lagon",47,0,"BAU"
"X66_Yaquina.Estuary",47,0,"BAU"
"X264_Great.Bay.Estuary",47,0,"BAU"
"W40_Lower.Pleasant.Bay",47,0,"BAU"
"X67_Spain",47,0,"BAU"
"X111_St.Leonards",47,0,"BAU"
"X178_Adelaide.Metropolitan.Coast",47,0,"BAU"
"W7.356_Stenungsund",47,0,"BAU"
"W40_West.Falmouth.Harbor",47,0,"BAU"
"X201_Tokyo.Bay",47,0,"BAU"
"X106_Pulau.Tekong",47,0,"BAU"
"W63_Bahia.San.Quintin",47,0,"BAU"
"W54_Estero.Bay",47,0,"BAU"
"W39_YRKPH...York",47,0,"BAU"
"W39_Jenkins.Neck",47,0,"BAU"
"W39_Fleets.Bay",47,0,"BAU"
"X12_EE3.2",47,0,"BAU"
"X207_Gloucester.Harbor",47,0,"BAU"
"X242_Chesapeake.Bay",47,0,"BAU"
"W39_CB6PH...Chesapeake.Bay",47,0,"BAU"
"X207_Cape.Pogue..Pocha.and.Caleb.Ponds",47,0,"BAU"
"X149_Mobjack.Bay",47,0,"BAU"
"X207_Stage.Harbor.System",47,0,"BAU"
"X207_Wild.Harbor",47,0,"BAU"
"X207_Inner.Sippican.Harbor",47,0,"BAU"
"X207_Menemsha",47,0,"BAU"
"X207_Lynn.Harbor",47,0,"BAU"
"X207_Scituate.Harbor",47,0,"BAU"
"X207_Cohasset.Harbor",47,0,"BAU"
"W39_TANMH...Tangier",47,0,"BAU"
"X207_Lower.Pleasant.Bay",47,0,"BAU"
"X207_New.Bedford.Outer.Harbor",47,0,"BAU"
"X207_Morris.Island",47,0,"BAU"
"W39_MOBPH...Mobjack",47,0,"BAU"
"X207_West.Falmouth",47,0,"BAU"
"X12_CB7.2E",47,0,"BAU"
"X207_Duxbury.Plymouth.Harbor",47,0,"BAU"
"X12_CB7.1",47,0,"BAU"
"X207_East.West.Branch.Westport.River",47,0,"BAU"
"X207_Pocasset.Harbor",47,0,"BAU"
"X12_EE3.5",47,0,"BAU"
"W39_Vaucluse.Shores",47,0,"BAU"
"X207_Boston.Harbor",47,0,"BAU"
"W4.350_Maquoit.Bay",47,0,"BAU"
"X207_Upper.Pleasant.Bay",47,0,"BAU"
"X207_Madaket.Harbor",47,0,"BAU"
"X207_West.Cape.Cod.Canal",47,0,"BAU"
"W39_CB7PH...Chesapeake.Bay",47,0,"BAU"
"X207_Ryders.Cove.Crow.Pond.Bassing.Harbor",47,0,"BAU"
"X207_Quissett",47,0,"BAU"
"W39_East.River",47,0,"BAU"
"W39_POCMH...Pocomoke",47,0,"BAU"
"X207_Lake.Tashmoo",47,0,"BAU"
"X101_Maroom",47,0,"BAU"
"X83_Northern.Deception.Bay",47,0,"BAU"
"X187_Kaipara.Harbour...Control.3",47,0,"BAU"
"X158_Wanga.Wallen",47,0,"BAU"
"X187_Kaipara.Harbour...Control.2",47,0,"BAU"
"X187_Kaipara.Harbour...Control.4",47,0,"BAU"
"X244_Centre.Bank",47,0,"BAU"
"X37_All.Lake.Macquarie",47,0,"BAU"
"X101_Eastern.Banks",47,0,"BAU"
"X158_Eastern.Banks",47,0,"BAU"
"W27_Esperance.Bay",47,0,"BAU"
"X158_Moreton.Banks",47,0,"BAU"
"W26.346_Wallis.Lake",47,0,"BAU"
"X244_Bottelary",47,0,"BAU"
"W28_Warnbro.Sound",47,0,"BAU"
"X101_Amity",47,0,"BAU"
"X101_Wanga.Wallen",47,0,"BAU"
"X101_Chain",47,0,"BAU"
"X12_CB8.1",47,0,"BAU"
"X151_Southern.study.area",47,0,"BAU"
"X37_Tuggerah.Lakes",47,0,"BAU"
"X207_Hadley.Harbor",47,0,"BAU"
"W39_CB5MH...Chesapeake.Bay",47,0,"BAU"
"X8_Roviana.Lagoon",47,0,"BAU"
"X127_Phu.Quoc.Island",47,0,"BAU"
"T1_Vanga",47,0,"BAU"
"X62_Paka..Terengganu..lagoon",47,0,"BAU"
"X217_Alligator.Bank..Karumba",47,0,"BAU"
"X62_Pengkalan.Nangka..Kelantan..lagoon",47,0,"BAU"
"T1_Gazi",47,0,"BAU"
"X363_Leyte...Samar",47,0,"BAU"
"X24_MNS",47,0,"BAU"
"X47_Straits.of.Johor",47,0,"BAU"
"X38_Cam.Ranh.Bay",47,0,"BAU"
"T1_Faza",47,0,"BAU"
"W54_Peace.River..Upper.Charlotte.Harbor",47,0,"BAU"
"W7.356_Lysekil",47,0,"BAU"
"X184_Cam.Ranh.Bay...Thuy.Trieu.Lagoon",47,0,"BAU"
"X174_Ba.Province",47,0,"BAU"
"W68_Corner.Inlet...Duck.Point",47,0,"BAU"
"X221_Devipattinam",47,0,"BAU"
"X221_Munaikkadu",47,0,"BAU"
"X96_Reef.Flat",47,0,"BAU"
"X230_Baraulu.Village",47,0,"BAU"
"W42.340_Outside.Cartagena.Bay",47,0,"BAU"
"X106_Pulau.Sekudu",47,0,"BAU"
"X106_Tanjung.Raya",47,0,"BAU"
"X232_Arguin.Bank...Zostera.noltii",47,0,"BAU"
"X65_Patch.4...McCormacks.Beach",47,0,"BAU"
"X106_Tanjung.Pandan..Cyrene.Reef.",47,0,"BAU"
"W68_Western.Port.Scrub.Point",47,0,"BAU"
"W68_Corner.Inlet..Granite.Island",47,0,"BAU"
"W68_Western.Port.Rhyll",47,0,"BAU"
"X323_Central.Area",47,0,"BAU"
"X112_Barnegat.Bay...Little.Egg.Harbor",47,0,"BAU"
"W40_Cohasset.Harbor",47,0,"BAU"
"X259_Stromstad",47,0,"BAU"
"X288a_Cartagena.Bay",47,0,"BAU"
"W42.340_Inside.Cartagena.Bay",47,0,"BAU"
"W2_Sarasota.Bay",47,0,"BAU"
"W54_San.Carlos.Bay..Lower.Charlotte.Harbor",47,0,"BAU"
"W2_Upper.Charlotte.Harbor",47,0,"BAU"
"W54_Pine.Island.Sound..Lower.Charlotte.Harbor",47,0,"BAU"
"W54_Matlacha.Pass..Lower.Charlotte.Harbor",47,0,"BAU"
"W54_Placida..Upper.Charlotte.Harbor",47,0,"BAU"
"W54_South.Harbor..Upper.Charlotte.Harbor",47,0,"BAU"
"W66_Turnbull.Creek",47,0,"BAU"
"W54_Myakka.River..Upper.Charlotte.Harbor",47,0,"BAU"
"W54_West.Wall..Upper.Charlotte.Harbor",47,0,"BAU"
"W54_East.Wall..Upper.Charlotte.Harbor",47,0,"BAU"
"W54_Middle.Harbor..Upper.Charlotte.Harbor",47,0,"BAU"
"W54_Lemon.Bay",47,0,"BAU"
"X328_Tampa.Bay",47,0,"BAU"
"X260_Terminal.Flats",47,0,"BAU"
"X327_Vieques",47,0,"BAU"
"W35.321_North.Vero..NV.",47,0,"BAU"
"X224_Steinhatchee.South",47,0,"BAU"
"W2_Tampa.Bay",47,0,"BAU"
"X224_Steinhatchee.North",47,0,"BAU"
"X224_Keaton.Beach",47,0,"BAU"
"X224_Fenholloway",47,0,"BAU"
"X224_Horeshoe.Beach.West",47,0,"BAU"
"X224_St.Marks.East",47,0,"BAU"
"X224_St.Marks.West",47,0,"BAU"
"X23_Estero.Bay",47,0,"BAU"
"X224_Econfina",47,0,"BAU"
"X224_Aucilla",47,0,"BAU"
"X224_Horeshoe.Beach.East",47,0,"BAU"
"X216_Petit.Bols.Island",47,0,"BAU"
"X232_Arcachon.Bay...Zostera.noltii",47,0,"BAU"
"X205_Bahia.de.la.Ascension",47,0,"BAU"
"W58.31_All.Kromme",47,0,"BAU"
"X11_Tampa.Bay",47,0,"BAU"
"X87_Tampa.Bay",47,0,"BAU"
"X36_Kees.Bayou",47,0,"BAU"
"X312_Southern.Sector",47,0,"BAU"
"W49_Medes.Islands",47,0,"BAU"
"X312_Central.Sector",47,0,"BAU"
"X312_Northern.Sector",47,0,"BAU"
"W9.348_Vaccares.Lagoon",47,0,"BAU"
"X323_Western.Area",47,0,"BAU"
"X323_Eastern.Area",47,0,"BAU"
"X12_LE3.6",47,0,"BAU"
"X116_Laigueglia..LA.",47,0,"BAU"
"X116_Santo.Stefano.al.Mare..SS.",47,0,"BAU"
"X116_Sanremo..SR.",47,0,"BAU"
"X116_Arenzano..AR.",47,0,"BAU"
"X116_Ventimiglia..VM.",47,0,"BAU"
"X116_Isola.Gallinara..GA.",47,0,"BAU"
"X116_Vado.Ligure..VA.",47,0,"BAU"
"X116_Albenga...Loano..AL.",47,0,"BAU"
"X116_Isola.di.Bergeggi..BE.",47,0,"BAU"
"X116_Porto.Maurizio..PM.",47,0,"BAU"
"X152_Gulf.of.St.Florent",47,0,"BAU"
"X116_Diano.Marina..DM.",47,0,"BAU"
"X125_Gulf.of.Oristano...Area.2",47,0,"BAU"
"X125_Gulf.of.Oristano...Area.1",47,0,"BAU"
"X12_CB5.4W",47,0,"BAU"
"X151_Gold.Coast.Broadwater",47,0,"BAU"
"X114_Costa.de.Gale",47,0,"BAU"
"R1_Pembroke.river",47,0,"BAU"
"X290_Nothfrisian.Wadden.Sea",47,0,"BAU"
"X6_Area.D",47,0,"BAU"
"R1_Garron.pill",47,0,"BAU"
"X164_Jade.Bay",47,0,"BAU"
"X259_Stenungsund",47,0,"BAU"
"X259_Lysekil",47,0,"BAU"
"X143_Northfrisian.Wadden.Sea",47,0,"BAU"
"X196_Troia.Peninsula...Sado.Estuary",47,0,"BAU"
"X286_Chausey.Archipelago",47,0,"BAU"
"X320_North.Haven",47,0,"BAU"
"X233_Bourgneuf.Bay",47,0,"BAU"
"R1_Hobbs.point",47,0,"BAU"
"R1_Sprinkle.Pill",47,0,"BAU"
"W1_Chincoteague.Bay",47,0,"BAU"
"X142_Elkhorn.Slough",47,0,"BAU"
"X116_Noli...Spotorno..NS.",47,0,"BAU"
"X306_Maryland.Coastal.Bays",47,0,"BAU"
"X216_Horn.Island",47,0,"BAU"
"X284_Yaquina.Estuary",47,0,"BAU"
"X125_Gulf.of.Oristano...Area.3",47,0,"BAU"
"X216_Cat.Island",47,0,"BAU"
"X101_Moreton",47,0,"BAU"
"W35.321_Melbourne.Palm.Bay..MP.",47,0,"BAU"
"X62_Punang.Sari.estuary..Lawas.",47,0,"BAU"
"X116_Albissola.Marina...Celle.Ligure..AC.",47,0,"BAU"
"X187_Kaipara.Harbour...Control.1",47,0,"BAU"
"X96_Lagoon",47,0,"BAU"
"W35.321_South.Vero..SV.",47,0,"BAU"
"W1_Sinepuxent.Bay",47,0,"BAU"
"X187_Kaipara.Harbour...Control.5",47,0,"BAU"
"X12_LE5.5.W",47,0,"BAU"
"X12_ET9.1",47,0,"BAU"
"X6_Area.B",47,0,"BAU"
"R1_Carew",47,0,"BAU"
"X114_Ponta.do.Adoche",47,0,"BAU"
"X199_Church.Bay",47,0,"BAU"
"W39_BIGMH...Big.Annenessex",47,0,"BAU"
"R1_Angle",47,0,"BAU"
"X116_Savona..SV.",47,0,"BAU"
"W39_PIAMH...Piankatank",47,0,"BAU"
"X6_Area.C",47,0,"BAU"
"W68_Port.Phillip.Bay.Kirk.Pt",47,0,"BAU"
"X218_Mumford.Cove",47,0,"BAU"
"X65_Patch.3...McCormacks.Beach",47,0,"BAU"
"X24_PLA",47,0,"BAU"
"X216_West.Ship.Island",47,0,"BAU"
"X36_State.Park",47,0,"BAU"
"X41_Pairs.1...2",47,0,"BAU"
"X216_East.Ship.Island",47,0,"BAU"
"X41_Pairs.3...4",47,0,"BAU"
"W40_Lewis.Bay",47,0,"BAU"
"W12_Urangan",47,0,"BAU"
"X307_Pointe.de.l.Arc",47,0,"BAU"
"X24_PAS",47,0,"BAU"
"X6_Area.A",47,0,"BAU"
"X12_LE5.4",47,0,"BAU"
"R1_Cosheston",47,0,"BAU"
"X114_Ria.Formosa.lagoon",47,0,"BAU"
"X12_EE3.3",47,0,"BAU"
"W12_Northern.Great.Sandy.Strait",47,0,"BAU"
"W10_Mondego.Estuary..South.Arm.",47,0,"BAU"
"X65_Patch.2...McCormacks.Beach",47,0,"BAU"
"W40_Boston.Harbor.North",47,0,"BAU"
"X242_Virginia.Coastal.Bays",47,0,"BAU"
"W12_Wanggoolba.Creek",47,0,"BAU"
"X65_Patch.1...McCormacks.Beach",47,0,"BAU"
"R1_Pwllcrochan.flats",47,0,"BAU"
"X307_Figuerolles",47,0,"BAU"
"X198_Mondego.Estuary",47,0,"BAU"
"W1_Southern.Delmarva.Coastal.Bays",47,0,"BAU"
"X187_Kaipara.Harbour...Oyster.Farm",47,0,"BAU"
"X114_Mondego.River",47,0,"BAU"
"W54_Caloosahatchee.River..Lower.Charlotte.Harbor",47,0,"BAU"
"X313_Lake.Nakaumi",47,0,"BAU"
"W39_JMSPH...James",47,0,"P"
"X114_Ludo.Baiao",47,0,"P"
"X241_Terschelling",47,0,"P"
"W31_Eel.Pond..Waquoit.Bay",47,0,"P"
"X12_LE5.3",47,0,"P"
"W40_Buttermilk.and.Little.Buttermilk.Bays",47,0,"P"
"W40_Three.Bays",47,0,"P"
"W69_Portinho.da.Rabida",47,0,"P"
"X14_Nisqually.River.Delta",47,0,"P"
"X104_Cleveland.Bay",47,0,"P"
"W40_Salem.Harbor",47,0,"P"
